metabolites,numOfPathway
HMDB0000052,21
HMDB0000374,14
HMDB0001248,219
HMDB0002057,1
HMDB0014733,1
HMDB0000272,8
HMDB0014829,2
HMDB0012458,7
HMDB0003937,13
HMDB0060417,4
HMDB0015342,1
HMDB0000318,8
HMDB0010729,1
HMDB0001512,1
HMDB0001046,2
HMDB0001023,23
HMDB0002232,41
HMDB0000062,17
HMDB0013640,1
HMDB0002972,1
HMDB0001316,5
HMDB0013961,1
HMDB0014523,1
HMDB0000149,1
HMDB0060639,2
HMDB0001498,54
HMDB0003325,5
HMDB0001930,1
HMDB0006865,17
HMDB0002065,7
HMDB0000595,104
HMDB0000011,2
HMDB0001533,27
HMDB0001265,3
HMDB0000916,5
HMDB0001847,1
HMDB0006968,1
HMDB0059661,11
HMDB0000234,3
HMDB0006273,17
HMDB0011105,1
HMDB0013929,2
HMDB0001980,24
HMDB0000845,7
HMDB0015314,1
HMDB0006285,2
HMDB0014787,1
HMDB0001586,26
HMDB0004270,1
HMDB0000687,50
HMDB0003337,53
HMDB0000294,48
HMDB0001889,1
HMDB0015267,1
HMDB0014694,1
HMDB0001877,1
HMDB0003609,1
HMDB0014496,2
HMDB0006211,1
HMDB0000564,1
HMDB0006894,7
HMDB0000561,2
HMDB0006790,8
HMDB0003556,6
HMDB0010316,1
HMDB0060952,2
HMDB0003345,28
HMDB0000239,2
HMDB0000547,304
HMDB0002961,1
HMDB0014021,2
HMDB0000085,17
HMDB0002027,23
HMDB0000795,3
HMDB0004256,1
HMDB0012451,2
HMDB0001062,12
HMDB0000707,12
HMDB0011107,1
HMDB0060677,3
HMDB0014333,1
HMDB0000119,12
HMDB0004680,41
HMDB0001058,19
HMDB0000761,7
HMDB0003934,13
HMDB0001127,1
HMDB0000699,1
HMDB0014681,1
HMDB0001412,1
HMDB0001176,6
HMDB0004258,1
HMDB0015340,1
HMDB0002820,2
HMDB0001190,1
HMDB0000241,5
HMDB0014888,1
HMDB0001253,8
HMDB0015409,1
HMDB0001453,3
HMDB0000280,35
HMDB0013912,1
HMDB0014442,1
HMDB0004400,1
HMDB0004693,41
HMDB0061196,23
HMDB0004113,1
HMDB0014643,1
HMDB0000258,9
HMDB0013946,1
HMDB0015043,1
HMDB0060412,4
HMDB0000161,59
HMDB0014672,2
HMDB0002825,1
HMDB0014551,1
HMDB0014505,1
HMDB0006529,1
HMDB0015197,1
HMDB0060263,18
HMDB0002005,8
HMDB0013900,1
HMDB0060992,2
HMDB0015169,1
HMDB0001934,1
HMDB0014447,1
HMDB0000061,14
HMDB0002356,3
HMDB0006768,3
HMDB0004030,11
HMDB0000099,19
HMDB0000898,2
HMDB0002845,4
HMDB0006824,1
HMDB0000797,17
HMDB0010150,2
HMDB0015312,2
HMDB0000164,8
HMDB0003073,1
HMDB0013911,1
HMDB0000214,20
HMDB0015356,2
HMDB0015532,59
HMDB0001496,7
HMDB0000870,18
HMDB0060946,1
HMDB0002314,41
HMDB0010724,1
HMDB0014027,1
HMDB0013639,9
HMDB0002170,4
HMDB0014462,1
HMDB0014704,1
HMDB0005026,2
HMDB0000248,2
HMDB0015696,1
HMDB0014008,1
HMDB0011639,14
HMDB0000210,5
HMDB0006821,7
HMDB0001480,6
HMDB0001311,7
HMDB0003876,41
HMDB0060759,1
HMDB0006759,11
HMDB0010722,1
HMDB0001013,2
HMDB0003932,13
HMDB0013593,1
HMDB0001134,14
HMDB0014914,1
HMDB0015095,1
HMDB0001439,17
HMDB0001511,12
HMDB0015128,2
HMDB0015111,1
HMDB0000186,7
HMDB0000064,20
HMDB0060657,2
HMDB0006820,1
HMDB0014608,1
HMDB0060947,1
HMDB0060840,1
HMDB0014604,1
HMDB0011103,1
HMDB0001243,19
HMDB0013921,1
HMDB0002281,13
HMDB0012456,7
HMDB0041913,1
HMDB0015090,1
HMDB0001348,6
HMDB0014415,1
HMDB0004026,11
HMDB0006404,13
HMDB0001335,42
HMDB0006756,11
HMDB0013617,17
HMDB0031524,6
HMDB0006823,7
HMDB0011618,2
HMDB0000722,7
HMDB0011133,1
HMDB0010733,1
HMDB0005175,8
HMDB0006254,2
HMDB0013861,2
HMDB0006755,11
HMDB0001850,1
HMDB0060804,4
HMDB0000695,17
HMDB0003344,2
HMDB0015594,1
HMDB0003364,11
HMDB0011533,4
HMDB0000289,17
HMDB0006322,1
HMDB0004659,41
HMDB0000854,2
HMDB0060530,2
HMDB0001297,2
HMDB0015167,5
HMDB0000118,8
HMDB0003192,17
HMDB0000998,5
HMDB0000268,11
HMDB0000224,7
HMDB0000357,1
HMDB0006753,11
HMDB0061095,2
HMDB0012329,2
HMDB0002991,2
HMDB0001259,6
HMDB0001925,2
HMDB0042005,2
HMDB0006407,1
HMDB0003099,1
HMDB0014399,1
HMDB0000725,2
HMDB0000716,7
HMDB0000092,18
HMDB0014842,1
HMDB0002127,3
HMDB0015358,2
HMDB0001195,7
HMDB0015036,1
HMDB0014545,1
HMDB0006218,2
HMDB0000606,1
HMDB0006217,2
HMDB0011110,1
HMDB0002197,7
HMDB0006875,13
HMDB0004995,2
HMDB0004950,6
HMDB0004112,1
HMDB0006971,2
HMDB0002031,5
HMDB0014940,1
HMDB0001919,1
HMDB0001494,6
HMDB0060872,1
HMDB0003288,1
HMDB0000290,6
HMDB0000201,4
HMDB0000027,29
HMDB0000692,32
HMDB0001403,43
HMDB0004679,41
HMDB0061123,2
HMDB0006870,17
HMDB0015014,1
HMDB0000641,53
HMDB0060682,1
HMDB0001351,26
HMDB0001319,2
HMDB0001368,3
HMDB0001175,11
HMDB0000133,17
HMDB0001354,4
HMDB0000516,12
HMDB0006055,12
HMDB0009925,1
HMDB0060850,1
HMDB0001548,22
HMDB0006869,17
HMDB0007883,41
HMDB0013472,1
HMDB0003178,183
HMDB0001409,5
HMDB0060661,2
HMDB0000238,7
HMDB0000143,13
HMDB0005017,2
HMDB0000742,22
HMDB0001112,21
HMDB0005038,2
HMDB0000172,48
HMDB0060849,1
HMDB0014843,1
HMDB0006281,7
HMDB0059911,1
HMDB0001901,1
HMDB0001361,5
HMDB0001060,1
HMDB0006268,6
HMDB0010217,41
HMDB0015158,2
HMDB0014411,2
HMDB0015666,1
HMDB0014352,1
HMDB0002719,23
HMDB0006216,2
HMDB0001278,1
HMDB0000019,17
HMDB0009970,2
HMDB0015044,1
HMDB0001051,7
HMDB0000990,12
HMDB0006235,2
HMDB0014565,1
HMDB0000491,17
HMDB0014744,1
HMDB0002925,1
HMDB0014397,3
HMDB0000229,1
HMDB0001388,1
HMDB0000812,3
HMDB0002070,12
HMDB0003905,2
HMDB0006892,7
HMDB0060671,1
HMDB0014543,1
HMDB0002091,7
HMDB0014383,2
HMDB0013037,1
HMDB0003648,2
HMDB0012285,1
HMDB0000269,6
HMDB0001059,2
HMDB0061140,2
HMDB0014848,1
HMDB0001991,1
HMDB0015233,2
HMDB0001846,43
HMDB0004198,25
HMDB0015018,1
HMDB0003948,13
HMDB0000243,68
HMDB0010032,3
HMDB0010735,1
HMDB0004249,2
HMDB0001303,178
HMDB0000262,5
HMDB0000145,5
HMDB0000230,6
HMDB0001565,8
HMDB0006764,11
HMDB0001508,17
HMDB0014473,1
HMDB0006819,1
HMDB0008923,1
HMDB0015091,1
HMDB0000629,2
HMDB0060678,3
HMDB0004195,1
HMDB0000696,50
HMDB0014982,1
HMDB0001162,5
HMDB0000253,11
HMDB0000162,45
HMDB0015049,1
HMDB0003791,8
HMDB0014916,1
HMDB0013902,1
