"","gene.list"
"874","CTSE"
"875","IKBKE"
"876","RASSF5"
"877","DYRK3"
"878","MAPKAPK2"
"879","IL19"
"880","IL20"
"881","IL24"
"882","PFKFB2"
"883","CD55"
"884","CR1"
"885","CD46"
"886","LOC148696"
"887","MIR205"
"888","CAMK1G"
"889","G0S2"
"890","HSD11B1"
"891","TRAF3IP3"
"892","C1orf107"
"893","SERTAD4"
"894","HHAT"
"895","RCOR3"
"896","TRAF5"
"897","C1orf97"
"898","DTL"
"899","PPP2R5A"
"900","SNORA16B"
"901","NENF"
"902","ATF3"
"903","FAM71A"
"904","FLVCR1"
"905","VASH2"
"906","RPS6KC1"
"907","PROX1"
"908","SMYD2"
"909","CENPF"
"910","KCNK2"
"911","KCTD3"
"912","SPATA17"
"913","RRP15"
"914","TGFB2"
"915","LYPLAL1"
"916","IARS2"
"917","MARK1"
"918","C1orf115"
"919","MOSC2"
"920","MOSC1"
"921","HLX"
"922","MIA3"
"923","C1orf58"
"924","DISP1"
"925","C1orf65"
"926","CAPN2"
"927","FBXO28"
"928","DEGS1"
"929","CNIH4"
"930","CNIH3"
"931","DNAH14"
"932","LBR"
"933","SRP9"
"934","EPHX1"
"935","H3F3A"
"936","MIXL1"
"937","C1orf95"
"938","PSEN2"
"939","ADCK3"
"940","BTF3P9"
"941","ZNF678"
"942","SNAP47"
"943","PRSS38"
"944","WNT3A"
"945","ARF1"
"946","GUK1"
"947","GJC2"
"948","C1orf69"
"949","OBSCN"
"950","HIST3H2BB"
"951","RNF187"
"952","DUSP5P"
"953","RHOU"
"954","RAB4A"
"955","URB2"
"956","GALNT2"
"957","COG2"
"958","CAPN9"
"959","ARV1"
"960","TRIM67"
"961","GNPAT"
"962","C1orf124"
"963","TSNAX"
"964","DISC1"
"965","KIAA1383"
"966","C1orf57"
"967","KIAA1804"
"968","KCNK1"
"969","SLC35F3"
"970","C1orf31"
"971","GGPS1"
"972","TBCE"
"973","GPR137B"
"974","EDARADD"
"975","LGALS8"
"976","ACTN2"
"977","MTR"
"978","RYR2"
"979","LOC100130331"
"980","CHRM3"
"981","FMN2"
"982","KMO"
"983","EXO1"
"984","SDCCAG8"
"985","ZNF238"
"986","C1orf101"
"987","PPPDE1"
"988","FAM36A"
